date,federal_employment_thousands,period_name
2024-01-01,2971.0,January
2024-02-01,2980.0,February
2024-03-01,2989.0,March
2024-04-01,2992.0,April
2024-05-01,3001.0,May
2024-06-01,3005.0,June
2024-07-01,3007.0,July
2024-08-01,3011.0,August
2024-09-01,3012.0,September
2024-10-01,3013.0,October
2024-11-01,3009.0,November
2024-12-01,3009.0,December
2025-01-01,3010.0,January
2025-02-01,2997.0,February
2025-03-01,2988.0,March
2025-04-01,2976.0,April
2025-05-01,2952.0,May
2025-06-01,2944.0,June
2025-07-01,2935.0,July
2025-08-01,2916.0,August
2025-09-01,2914.0,September
2025-10-01,2748.0,October
2025-11-01,2733.0,November
2025-12-01,2722.0,December
2026-01-01,2685.0,January
2026-02-01,2689.0,February
2026-03-01,2674.0,March
2026-04-01,2665.0,April
