period_formatted,total_medicaid_and_chip_enrollment,total_medicaid_enrollment,total_chip_enrollment,medicaid_and_chip_child_enrollment,total_adult_medicaid_enrollment
2025-01,79377808,72014362,7363446,37659593,41718215
2025-02,79280368,71896776,7383592,37609921,41670447
2025-03,79112070,71745912,7366158,37567242,41544828
2025-04,78864858,71547558,7317300,37482465,41382393
2025-05,78541076,71237002,7304074,37352075,41189001
2025-06,78213921,70937516,7276405,37203782,41010139
2025-07,78022626,70758545,7264081,37140147,40882479
2025-08,77756232,70474030,7282202,37060772,40695460
2025-09,77486188,70199433,7286755,36927995,40558193
2025-10,77208947,69923114,7285833,36796684,40412263
2025-11,76473554,69205134,7268420,36383166,40090388
2025-12,76206537,68925023,7281514,36227395,39979142
2026-01,75263587,68022529,7241058,35859778,39403809
