period_formatted,total_medicaid_and_chip_enrollment,total_medicaid_enrollment,total_chip_enrollment,medicaid_and_chip_child_enrollment
2025-01,157829111,143191971,14637140,74932064
2025-02,157942564,143219027,14723537,74955950
2025-03,157685112,142999258,14685854,74900955
2025-04,157241382,142641927,14599455,74757469
2025-05,156627116,142056242,14570874,74523199
2025-06,155972122,141453628,14518494,74212847
2025-07,155590064,141100792,14489272,74083158
2025-08,155031674,140526635,14505039,73907022
2025-09,154521513,139981791,14539722,73663964
2025-10,153984469,139449430,14535039,73430924
2025-11,152489675,137990948,14498727,72578609
2025-12,151932522,137407047,14525475,72267171
2026-01,75263587,68022529,7241058,35859778
