date,fiscal_year,month_name,total_removals,convicted_criminals,non_criminal,pct_non_criminal
2020-01-01,2020,January,31460,11330,20120,64.0
2020-02-01,2020,February,31110,11080,20030,64.4
2020-03-01,2020,March,25230,10560,14660,58.1
2020-04-01,2020,April,9440,6570,2870,30.4
2020-05-01,2020,May,7440,5310,2130,28.6
2020-06-01,2020,June,7210,4710,2510,34.8
2020-07-01,2020,July,7680,4610,3070,40.0
2020-08-01,2020,August,8330,4520,3810,45.7
2020-09-01,2020,September,8740,4350,4390,50.2
2020-10-01,2021,October,12210,6750,5460,44.7
2020-11-01,2021,November,8100,4050,4050,50.0
2020-12-01,2021,December,7770,3980,3790,48.8
2021-01-01,2021,January,8040,3800,4240,52.7
2021-02-01,2021,February,5350,2230,3120,58.3
2021-03-01,2021,March,6220,2700,3520,56.6
2021-04-01,2021,April,6090,2680,3410,56.0
2021-05-01,2021,May,6230,2610,3620,58.1
2021-06-01,2021,June,6200,2630,3580,57.7
2021-07-01,2021,July,6530,2570,3960,60.6
2021-08-01,2021,August,6400,2590,3810,59.5
2021-09-01,2021,September,5960,2530,3430,57.6
2021-10-01,2022,October,6590,2680,3910,59.3
2021-11-01,2022,November,6460,2780,3680,57.0
2021-12-01,2022,December,6000,2650,3350,55.8
2022-01-01,2022,January,5860,2440,3420,58.4
2022-02-01,2022,February,6960,2840,4120,59.2
2022-03-01,2022,March,10150,3580,6580,64.8
2022-04-01,2022,April,10300,3530,6770,65.7
2022-05-01,2022,May,10790,3370,7430,68.9
2022-06-01,2022,June,9910,3680,6220,62.8
2022-07-01,2022,July,9530,3520,6020,63.2
2022-08-01,2022,August,10010,4010,6000,59.9
2022-09-01,2022,September,10200,3960,6240,61.2
2022-10-01,2023,October,11200,4500,6700,59.8
2022-11-01,2023,November,10450,4090,6360,60.9
2022-12-01,2023,December,9130,3950,5180,56.7
2023-01-01,2023,January,9940,4010,5930,59.7
2023-02-01,2023,February,10680,3990,6690,62.6
2023-03-01,2023,March,12510,5060,7440,59.5
2023-04-01,2023,April,12160,4630,7530,61.9
2023-05-01,2023,May,16940,5730,11220,66.2
2023-06-01,2023,June,20960,5890,15070,71.9
2023-07-01,2023,July,19470,5230,14240,73.1
2023-08-01,2023,August,25750,6110,19640,76.3
2023-09-01,2023,September,18360,4190,14170,77.2
2023-10-01,2024,October,27900,6320,21580,77.3
2023-10-01,2024,October,35840,7060,28780,80.3
2023-11-01,2024,November,27000,5510,21490,79.6
2023-11-01,2024,November,25800,5660,20130,78.0
2023-12-01,2024,December,24730,5030,19700,79.7
2024-01-01,2024,January,28790,5940,22860,79.4
2024-02-01,2024,February,28180,6030,22150,78.6
2024-03-01,2024,March,30120,6250,23870,79.2
2024-04-01,2024,April,30340,6140,24200,79.8
2024-05-01,2024,May,32240,6090,26150,81.1
2024-06-01,2024,June,27030,5330,21710,80.3
2024-07-01,2024,July,27690,5860,21820,78.8
2024-08-01,2024,August,24940,5850,19090,76.5
2024-09-01,2024,September,21020,5320,15700,74.7
