Return to Table of Contents.,,"* Please click on the ""plus"" sign to the left of the years to expand to see monthly data or the ""minus"" sign to hide it.",,
DHS Removals by Criminality: Fiscal Years 2019 to 2025 YTD (November 2024),,,,
Fiscal Year,Month,Total,Convicted Criminals,Non-Criminal
2019,Total,347230,142440,204790
,October,30210,14470,15740
,November,27160,12890,14270
,December,24500,11820,12680
,January,25120,11730,13390
,February,26710,11420,15290
,March,32870,13040,19830
,April,33250,12650,20600
,May,33780,12590,21200
,June,29030,10740,18290
,July,29050,11650,17400
,August,27540,10810,16730
,September,28000,8630,19370
2020,Total,234340,98310,136040
,October,36180,13250,22930
,November,31680,11270,20420
,December,29840,10740,19100
,January,31460,11330,20120
,February,31110,11080,20030
,March,25230,10560,14660
,April,9440,6570,2870
,May,7440,5310,2130
,June,7210,4710,2510
,July,7680,4610,3070
,August,8330,4520,3810
,September,8740,4350,4390
2021,Total,85100,39110,45990
,October,12210,6750,5460
,November,8100,4050,4050
,December,7770,3980,3790
,January,8040,3800,4240
,February,5350,2230,3120
,March,6220,2700,3520
,April,6090,2680,3410
,May,6230,2610,3620
,June,6200,2630,3580
,July,6530,2570,3960
,August,6400,2590,3810
,September,5960,2530,3430
2022,Total,102760,39020,63740
,October,6590,2680,3910
,November,6460,2780,3680
,December,6000,2650,3350
,January,5860,2440,3420
,February,6960,2840,4120
,March,10150,3580,6580
,April,10300,3530,6770
,May,10790,3370,7430
,June,9910,3680,6220
,July,9530,3520,6020
,August,10010,4010,6000
,September,10200,3960,6240
2023,Total,177540,57370,120170
,October,11200,4500,6700
,November,10450,4090,6360
,December,9130,3950,5180
,January,9940,4010,5930
,February,10680,3990,6690
,March,12510,5060,7440
,April,12160,4630,7530
,May,16940,5730,11220
,June,20960,5890,15070
,July,19470,5230,14240
,August,25750,6110,19640
,September,18360,4190,14170
2024,Total,329990,69670,260320
,October,27900,6320,21580
,November,27000,5510,21490
,December,24730,5030,19700
,January,28790,5940,22860
,February,28180,6030,22150
,March,30120,6250,23870
,April,30340,6140,24200
,May,32240,6090,26150
,June,27030,5330,21710
,July,27690,5860,21820
,August,24940,5850,19090
,September,21020,5320,15700
2025 YTD,Total,61630,12720,48910
,October,35840,7060,28780
,November,25800,5660,20130
"Notes: To protect privacy, table cells are rounded to the nearest ten. The totals may not sum due to rounding. Table is limited to removals (i.e., excludes administrative and enforcement returns). DHS removals include removals completed by ICE/ERO and those completed by CBP. Detailed criminality data are not available for CBP Removals or DHS-wide removals. Records may not match agency reporting due to differences in reporting methodologies. Data are current as of November 30, 2024; future reporting may include updates to previous reports’ data.",,,,
Source: Office of Homeland Security Statistics Persist Dataset.,,,,
