date,fiscal_year,month_name,total_arrests,convicted_criminals,total_non_criminal,pending_criminal_charges,other_immigration_violators,pct_non_criminal,pct_convicted
2020-01-01,2020,January,12130,7960,4170,2500,1670,34.4,65.6
2020-02-01,2020,February,11870,7600,4260,2550,1720,35.9,64.0
2020-03-01,2020,March,10430,7010,3420,2200,1220,32.8,67.2
2020-04-01,2020,April,5790,4720,1080,910,170,18.7,81.5
2020-05-01,2020,May,5580,4150,1430,1200,230,25.6,74.4
2020-06-01,2020,June,5460,4010,1450,1180,270,26.6,73.4
2020-07-01,2020,July,6250,4470,1780,1380,400,28.5,71.5
2020-08-01,2020,August,7080,4770,2310,1880,430,32.6,67.4
2020-09-01,2020,September,7170,4640,2540,1950,590,35.4,64.7
2020-10-01,2021,October,7420,5040,2380,1790,600,32.1,67.9
2020-11-01,2021,November,6610,4500,2110,1630,480,31.9,68.1
2020-12-01,2021,December,6680,4530,2150,1620,520,32.2,67.8
2021-01-01,2021,January,5910,4030,1880,1290,590,31.8,68.2
2021-02-01,2021,February,2450,1910,540,220,320,22.0,78.0
2021-03-01,2021,March,2640,2140,500,210,300,18.9,81.1
2021-04-01,2021,April,3690,2220,1470,250,1220,39.8,60.2
2021-05-01,2021,May,4830,2260,2570,280,2290,53.2,46.8
2021-06-01,2021,June,7170,2500,4660,290,4370,65.0,34.9
2021-07-01,2021,July,7110,2370,4740,290,4450,66.7,33.3
2021-08-01,2021,August,8100,2520,5580,410,5180,68.9,31.1
2021-09-01,2021,September,11490,2600,8890,550,8340,77.4,22.6
2021-10-01,2022,October,11380,2450,8920,810,8110,78.4,21.5
2021-11-01,2022,November,13110,2490,10620,480,10140,81.0,19.0
2021-12-01,2022,December,8620,2260,6360,420,5940,73.8,26.2
2022-01-01,2022,January,8490,2350,6130,490,5640,72.2,27.7
2022-02-01,2022,February,10240,2610,7630,460,7170,74.5,25.5
2022-03-01,2022,March,12690,3170,9520,660,8870,75.0,25.0
2022-04-01,2022,April,11410,3090,8320,750,7570,72.9,27.1
2022-05-01,2022,May,11020,3180,7840,800,7030,71.1,28.9
2022-06-01,2022,June,11950,3220,8730,760,7980,73.1,26.9
2022-07-01,2022,July,12950,3410,9550,1230,8320,73.7,26.3
2022-08-01,2022,August,16040,4100,11940,1620,10320,74.4,25.6
2022-09-01,2022,September,14860,3990,10870,1600,9270,73.1,26.9
2022-10-01,2023,October,16630,3970,12660,1540,11120,76.1,23.9
2022-11-01,2023,November,16310,3990,12320,1550,10770,75.5,24.5
2022-12-01,2023,December,15130,3860,11270,1360,9910,74.5,25.5
2023-01-01,2023,January,18170,4180,13990,1550,12440,77.0,23.0
2023-02-01,2023,February,16150,4530,11620,1580,10040,72.0,28.0
2023-03-01,2023,March,15900,5430,10470,1790,8690,65.8,34.2
2023-04-01,2023,April,13380,4500,8880,1680,7210,66.4,33.6
2023-05-01,2023,May,13800,4980,8810,1900,6910,63.8,36.1
2023-06-01,2023,June,12690,4910,7780,1900,5880,61.3,38.7
2023-07-01,2023,July,11610,4650,6960,2040,4920,59.9,40.1
2023-08-01,2023,August,11190,4730,6470,1600,4870,57.8,42.3
2023-09-01,2023,September,9630,4030,5600,1580,4020,58.2,41.8
2023-10-01,2024,October,10150,4500,5650,1490,4150,55.7,44.3
2023-10-01,2024,October,9690,5320,4370,2800,1570,45.1,54.9
2023-11-01,2024,November,8960,4340,4620,1470,3150,51.6,48.4
2023-11-01,2024,November,8310,4710,3610,2430,1180,43.4,56.7
2023-12-01,2024,December,9910,4090,5820,1570,4250,58.7,41.3
2024-01-01,2024,January,8590,4300,4290,1550,2740,49.9,50.1
2024-02-01,2024,February,9680,5080,4600,1770,2830,47.5,52.5
2024-03-01,2024,March,9630,5130,4500,1920,2590,46.7,53.3
2024-04-01,2024,April,10290,5430,4860,2080,2780,47.2,52.8
2024-05-01,2024,May,10360,5390,4960,2300,2660,47.9,52.0
2024-06-01,2024,June,8570,4620,3960,2080,1880,46.2,53.9
2024-07-01,2024,July,9590,5280,4310,2380,1930,44.9,55.1
2024-08-01,2024,August,9230,5020,4210,2610,1610,45.6,54.4
2024-09-01,2024,September,8470,4500,3970,2410,1560,46.9,53.1
