state,feb_2025,jan_2026_prelim,feb_2026_initial,pct_chg_mom,pct_chg_yoy,yoy_change_persons,yoy_pct_display
Arizona,892565.0,509695.0,448976.0,-0.1191281060241909,-0.4969822926061407,-443589.0,-49.7
North Carolina,1475008.0,1211045.0,1200632.0,-0.0085983592682352,-0.186016618214952,-274376.0,-18.6
Louisiana,818120.0,710680.0,681120.0,-0.0415939663420949,-0.1674570967584217,-137000.0,-16.7
Georgia,1521634.0,1432277.0,1294939.0,-0.0958878764373092,-0.1489812924790061,-226695.0,-14.9
Florida,2992240.0,2570518.0,2546175.1945,-0.0094700000155609,-0.1490738729179477,-446064.8054999998,-14.9
Nevada,500099.0,430602.0,425885.0,-0.010954431238127,-0.1483986170738193,-74214.0,-14.8
Virginia,812199.0,715674.0,695447.0,-0.0282628682891931,-0.1437480223442777,-116752.0,-14.4
Oklahoma,694059.0,611741.0,596824.0,-0.0243845025917831,-0.1400961589720758,-97235.0,-14.0
Rhode Island,147940.0,129485.0,127709.0,-0.0137158744256091,-0.1367513856969041,-20231.0,-13.7
Tennessee,694241.0,611274.0,599520.0,-0.0192286928611391,-0.1364382109382765,-94721.0,-13.6
Wyoming,28096.0,24616.0,24262.0,-0.014380890477738,-0.1364607061503417,-3834.0,-13.6
Utah,177345.0,156583.0,154397.0,-0.0139606470689666,-0.1293975020440384,-22948.0,-12.9
Massachusetts,1093061.0,975488.0,954453.0,-0.0215635661330534,-0.1268071955727996,-138608.0,-12.7
Connecticut,371398.0,331137.0,326708.0,-0.0133751287231568,-0.1203291347826321,-44690.0,-12.0
Mississippi,363425.0,326280.0,322162.0,-0.0126210616648277,-0.1135392446859737,-41263.0,-11.4
Indiana,596803.0,532576.0,530190.0,-0.0044801117586973,-0.1116163960301808,-66613.0,-11.2
Pennsylvania,1974682.0,1792722.0,1755370.0,-0.0208353553981041,-0.1110619330099732,-219312.0,-11.1
Illinois,1895517.0,1732806.0,1693396.0,-0.0227434577211759,-0.1066310668804342,-202121.0,-10.7
Nebraska,150149.0,136218.0,134074.0,-0.0157394764274912,-0.1070603200820518,-16075.0,-10.7
South Carolina,568827.0,514847.0,509596.0,-0.010199146542565,-0.1041283202098353,-59231.0,-10.4
Delaware,116997.0,112111.0,105044.0,-0.0630357413634701,-0.1021650127781054,-11953.0,-10.2
Texas,3466003.0,3197396.0,3112380.0,-0.0265891369101606,-0.1020261667401903,-353623.0,-10.2
     TOTAL,42180523.0,38535642.0,37870817.1945,-0.0172522052571487,-0.1021728868914214,-4309705.805500001,-10.2
Montana,80779.0,72943.0,72705.0,-0.003262821655265,-0.09995172012528,-8074.0,-10.0
North Dakota,56804.0,52468.0,51843.0,-0.0119120225661355,-0.0873353989155693,-4961.0,-8.7
Kansas,185975.0,174100.0,170894.0,-0.0184147041929925,-0.0810915445624411,-15081.0,-8.1
Idaho,134865.0,123859.0,124433.0,0.0046343019078145,-0.0773514254995736,-10432.0,-7.7
Virgin Islands,21119.0,20303.0,19505.0,-0.0393045362754272,-0.0764240731095222,-1614.0,-7.6
Oregon,774005.0,725453.0,717017.0,-0.0116285962012701,-0.0736274313473427,-56988.0,-7.4
Alabama,743883.0,693846.0,690555.0,-0.0047431274375005,-0.0716886929799444,-53328.0,-7.2
Michigan,1506523.0,1415568.0,1400731.0,-0.0104813050309133,-0.0702226252105012,-105792.0,-7.0
Vermont,65551.0,61272.0,61039.0,-0.0038027157592374,-0.0688319018779271,-4512.0,-6.9
West Virginia,273981.0,255332.0,255410.0,0.0003054846239405,-0.0677820724794785,-18571.0,-6.8
Maine,164102.0,154733.0,153160.0,-0.0101658986770759,-0.0666780417057683,-10942.0,-6.7
Wisconsin,700640.0,656788.0,654524.0,-0.0034470788138638,-0.0658198218771409,-46116.0,-6.6
Ohio,1437911.0,1363669.0,1346906.0,-0.0122925724644323,-0.0632897307274233,-91005.0,-6.3
California,5497691.0,5191495.0,5161672.0,-0.0057445880232957,-0.0611200229332641,-336019.0,-6.1
New Jersey,828275.0,786858.0,778176.0,-0.0110337570438376,-0.0604859497147686,-50099.0,-6.0
South Dakota,75353.0,71007.0,70862.0,-0.0020420521920374,-0.0595994850901755,-4491.0,-6.0
New York,2965461.0,2813068.0,2790322.0,-0.0080858336876321,-0.059059620072562,-175139.0,-5.9
Arkansas,239265.0,228990.0,225116.0,-0.0169177693349054,-0.0591352684262219,-14149.0,-5.9
Iowa,262502.0,249547.0,247380.0,-0.0086837349276889,-0.0576071801357703,-15122.0,-5.8
Missouri,654673.0,623903.0,618825.0,-0.0081390857232614,-0.0547571077469209,-35848.0,-5.5
Colorado,615935.0,587919.0,583013.0,-0.0083446869381666,-0.0534504452580223,-32922.0,-5.3
Maryland,677759.0,644473.0,641973.0,-0.0038791384588648,-0.0528004792263916,-35786.0,-5.3
New Mexico,465681.0,444452.0,442803.0,-0.0037101869268222,-0.0491280511766638,-22878.0,-4.9
District of Columbia,140395.0,135418.0,134209.0,-0.0089279120944039,-0.0440613981979415,-6186.0,-4.4
Minnesota,451738.0,435249.0,435116.0,-0.0003055722126874,-0.0367956647437231,-16622.0,-3.7
Washington,902979.0,874949.0,871156.0,-0.0043351098178293,-0.0352422370841403,-31823.0,-3.5
New Hampshire,75832.0,74615.0,74442.0,-0.0023185686524157,-0.0183299926152547,-1390.0,-1.8
Kentucky,575863.0,571197.0,572689.0,0.002612058536722,-0.0055117276157697,-3174.0,-0.6
Hawaii,157314.0,161115.0,158822.0,-0.014232070260373,0.0095859236940132,1508.0,1.0
Alaska,63698.0,64697.0,66344.0,0.0254571309334281,0.0415397657697258,2646.0,4.2
Guam,33563.0,40585.0,39916.0,-0.0164839226315141,0.1892858206954086,6353.0,18.9
