Aggregator,Updated,Approve,Disapprove,Unsure/Other,Lead,table_index,Favorable,Unfavorable
Ballotpedia,"May 20, 2026",40.0%,57.0%,3.0%,−17.0%,1,,
CNN,"May 20, 2026",36.0%,63.0%,1.0%,−27.0%,1,,
Decision Desk HQ,"May 20, 2026",39.7%,57.6%,2.7%,−17.9%,1,,
FiftyPlusOne,"May 20, 2026",36.7%,59.8%,3.5%,−23.1%,1,,
Race to the WH,"May 20, 2026",37.6%,59.4%,3.0%,−21.8%,1,,
Real Clear Politics,"May 20, 2026",39.6%,57.8%,2.6%,−18.2%,1,,
Silver Bulletin,"May 20, 2026",38.5%,58.4%,3.1%,−19.9%,1,,
The Economist,"May 20, 2026",37.0%,57.0%,5.0%,−21.0%,1,,
The New York Times,"May 20, 2026",38.0%,58.0%,4.0%,−20.0%,1,,
VoteHub,"May 20, 2026",38.8%,58.3%,2.9%,−19.5%,1,,
Average,"May 20, 2026",38.2%,58.6%,3.2%,−20.4%,1,,
Decision Desk HQ,"May 20, 2026",,,3.2%,−17.2%,2,39.8%,57.0%
Real Clear Politics,"May 20, 2026",,,3.7%,−15.5%,2,40.4%,55.9%
VoteHub,"May 20, 2026",,,3.2%,−16.8%,2,40.0%,56.8%
